index,Cinsiyet,Yaş Grubu,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi
0,Kadın,31-40,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,748266.440879225,Büyük Şehir,Elektronik ve Teknolojik Ürünler,32010.9008807464,37.3106438453921,Etmiyor,obek_4,102.93690407211
1,Erkek,>60,Evli,Lise Mezunu,Kendi İşinin Sahibi,246298.609605251,Küçük Şehir,Spor Malzemeleri,4145.72989145956,11.554851278483,Etmiyor,obek_5,82.1760529467475
2,Erkek,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,268582.732359807,Küçük Şehir,Giyim,9924.37941404139,55.3532356401252,Ediyor,obek_8,141.661425720699
3,Erkek,51-60,Evli,Lise Mezunu,Kendi İşinin Sahibi,327721.837864896,Kırsal,Giyim,6417.78071389079,15.4172390716021,Etmiyor,obek_3,17.0973972754435
4,Erkek,31-40,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,397431.626948404,Büyük Şehir,Giyim,7886.66306094773,14.6898367281591,Etmiyor,obek_3,20.4704586512224
5,Kadın,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,332489.316371398,Büyük Şehir,Giyim,9218.99455654395,56.6268682115449,Etmiyor,obek_8,216.332206749604
6,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,256538.898809661,Kırsal,Ev ve Mobilya,6013.40549114854,15.9298572089961,Etmiyor,obek_3,19.2484337527396
7,Kadın,31-40,Bekar,Lise Mezunu,Kendi İşinin Sahibi,213630.355635805,Küçük Şehir,Ev ve Mobilya,3960.36151650578,8.91388709361075,Etmiyor,obek_5,102.394322950372
8,Erkek,51-60,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,479593.473446913,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,39574.6012576481,25.6857146039927,Etmiyor,obek_3,56.3228931160477
9,Kadın,51-60,Evli,Üniversite Mezunu,Emekli,477359.77558659,Küçük Şehir,Giyim,41555.8322932225,27.8710272183318,Etmiyor,obek_6,44.8387581760015
10,Erkek,51-60,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,213570.560609921,Büyük Şehir,Spor Malzemeleri,4542.82511413557,9.85418818779439,Etmiyor,obek_5,112.368562616842
11,Erkek,41-50,Evli,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,312415.375463398,Küçük Şehir,Giyim,5177.63881032245,2.54225096888042,Etmiyor,obek_1,8.03898513474146
12,Erkek,>60,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,344598.478950161,Küçük Şehir,Elektronik ve Teknolojik Ürünler,27606.7214745387,18.3894692566043,Etmiyor,obek_7,78.8610357836159
13,Erkek,51-60,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,217216.075153825,Köy veya Kasaba,Giyim,6673.25772318442,15.6680413792955,Etmiyor,obek_3,23.5659991110632
14,Erkek,>60,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,361022.43049114,Köy veya Kasaba,Kozmetik,24707.6824044931,19.8129129778363,Etmiyor,obek_7,97.1794140548053
15,Erkek,31-40,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,234827.322133641,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,3969.10503789249,9.24084203521588,Etmiyor,obek_5,108.733660983285
